epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.5397,0.75696,2.61655,1.10323,0.00682,1,0.50549,0.43103,0.54902,2.89048,0.92232,0.0001667,0.0001667,0.0001667
2,156.765,0.56566,0.98845,0.96766,0.22194,0.61905,0.5186,0.48745,0.39139,2.6998,0.85296,0.000332742,0.000332742,0.000332742
3,232.281,0.54196,0.81063,0.94116,1,0.5,0.80248,0.72047,0.45682,1.9937,0.85048,0.000480629,0.000480629,0.000480629
4,307.815,0.54444,0.74672,0.94779,0.99862,0.5,0.68128,0.58383,0.54527,2.26451,0.90963,0.000610364,0.000610364,0.000610364
5,382.737,0.51324,0.69348,0.93756,0.99714,0.5,0.97286,0.86436,0.52444,1.80985,0.89377,0.000721944,0.000721944,0.000721944
6,457.74,0.53462,0.69008,0.9333,0.99734,0.5,0.995,0.91396,0.44044,1.86123,0.85585,0.000815371,0.000815371,0.000815371
7,533.584,0.52467,0.62688,0.92683,0.75493,0.54687,0.995,0.90713,0.45993,1.44569,0.88188,0.000890645,0.000890645,0.000890645
8,606.366,0.50098,0.64512,0.94034,0.97424,1,0.995,0.90414,0.42433,1.03108,0.86975,0.000947765,0.000947765,0.000947765
9,675.427,0.49212,0.6162,0.91971,0.97348,1,0.995,0.89115,0.46713,0.96796,0.87102,0.000986731,0.000986731,0.000986731
10,745.73,0.48639,0.57405,0.91434,0.95878,1,0.995,0.88994,0.45223,0.7363,0.86794,0.000924352,0.000924352,0.000924352
11,815.02,0.43523,0.80067,0.87111,0.98926,1,0.995,0.89763,0.51464,1.11219,0.88323,0.000841835,0.000841835,0.000841835
12,884.199,0.42614,0.75847,0.8767,0.98957,0.99622,0.995,0.91001,0.43924,0.77747,0.86075,0.000759318,0.000759318,0.000759318
13,953.495,0.40911,0.67146,0.8831,0.99244,1,0.995,0.9096,0.44607,0.58051,0.86586,0.000676802,0.000676802,0.000676802
14,1022.4,0.39985,0.62061,0.86072,0.99434,1,0.995,0.90864,0.43521,0.51476,0.85466,0.000594286,0.000594286,0.000594286
15,1091.83,0.39267,0.61285,0.8479,0.99311,1,0.995,0.92348,0.39903,0.49274,0.85038,0.000511769,0.000511769,0.000511769
16,1160.59,0.39595,0.58712,0.85885,0.9966,1,0.995,0.9286,0.3909,0.46882,0.84104,0.000429253,0.000429253,0.000429253
17,1229.59,0.38255,0.5738,0.85958,0.99673,1,0.995,0.94893,0.36174,0.44318,0.83584,0.000346736,0.000346736,0.000346736
18,1306.93,0.3511,0.55162,0.84789,0.99652,1,0.995,0.94739,0.35547,0.43177,0.83404,0.00026422,0.00026422,0.00026422
19,1375.45,0.37288,0.55288,0.85213,0.9974,1,0.995,0.95452,0.33373,0.40845,0.82561,0.000181703,0.000181703,0.000181703
20,1444.5,0.35646,0.54187,0.84863,0.99755,1,0.995,0.94068,0.35379,0.41158,0.82733,9.91865e-05,9.91865e-05,9.91865e-05
